"regcode","inc064","inc65","inc","date"
13,4.00167098899558,6.22,3.28,2015-01-01
13,4.00167098899558,6.22,3.28,2015-01-02
13,4.00167098899558,6.22,3.28,2015-01-03
13,4.00167098899558,6.22,3.28,2015-01-04
13,8.2264972647504,5.61,5.06,2015-01-05
13,8.2264972647504,5.61,5.06,2015-01-06
13,8.2264972647504,5.61,5.06,2015-01-07
13,8.2264972647504,5.61,5.06,2015-01-08
13,8.2264972647504,5.61,5.06,2015-01-09
13,8.2264972647504,5.61,5.06,2015-01-10
13,8.2264972647504,5.61,5.06,2015-01-11
13,20.8895990870998,3.37,10,2015-01-12
13,20.8895990870998,3.37,10,2015-01-13
13,20.8895990870998,3.37,10,2015-01-14
13,20.8895990870998,3.37,10,2015-01-15
13,20.8895990870998,3.37,10,2015-01-16
13,20.8895990870998,3.37,10,2015-01-17
13,20.8895990870998,3.37,10,2015-01-18
13,20.8895990870998,3.37,10,2015-01-19
13,20.8895990870998,3.37,10,2015-01-20
13,20.8895990870998,3.37,10,2015-01-21
13,20.8895990870998,3.37,10,2015-01-22
13,20.8895990870998,3.37,10,2015-01-23
13,20.8895990870998,3.37,10,2015-01-24
13,20.8895990870998,3.37,10,2015-01-25
13,23.841910181147,4.6,12.74,2015-01-26
13,23.841910181147,4.6,12.74,2015-01-27
13,23.841910181147,4.6,12.74,2015-01-28
13,23.841910181147,4.6,12.74,2015-01-29
13,23.841910181147,4.6,12.74,2015-01-30
13,23.841910181147,4.6,12.74,2015-01-31
13,23.841910181147,4.6,12.74,2015-02-01
13,16.1331154251194,4.13,9.21,2015-02-02
13,16.1331154251194,4.13,9.21,2015-02-03
13,16.1331154251194,4.13,9.21,2015-02-04
13,16.1331154251194,4.13,9.21,2015-02-05
13,16.1331154251194,4.13,9.21,2015-02-06
13,16.1331154251194,4.13,9.21,2015-02-07
13,16.1331154251194,4.13,9.21,2015-02-08
13,14.9935495420696,3.02,8.66,2015-02-09
13,14.9935495420696,3.02,8.66,2015-02-10
13,14.9935495420696,3.02,8.66,2015-02-11
13,14.9935495420696,3.02,8.66,2015-02-12
13,14.9935495420696,3.02,8.66,2015-02-13
13,14.9935495420696,3.02,8.66,2015-02-14
13,14.9935495420696,3.02,8.66,2015-02-15
13,11.3946637057154,6.46,7.63,2015-02-16
13,11.3946637057154,6.46,7.63,2015-02-17
13,11.3946637057154,6.46,7.63,2015-02-18
13,11.3946637057154,6.46,7.63,2015-02-19
13,11.3946637057154,6.46,7.63,2015-02-20
13,11.3946637057154,6.46,7.63,2015-02-21
13,11.3946637057154,6.46,7.63,2015-02-22
13,10.0508737479325,2.18,5.58,2015-02-23
13,10.0508737479325,2.18,5.58,2015-02-24
13,10.0508737479325,2.18,5.58,2015-02-25
13,10.0508737479325,2.18,5.58,2015-02-26
13,10.0508737479325,2.18,5.58,2015-02-27
13,10.0508737479325,2.18,5.58,2015-02-28
13,10.0508737479325,2.18,5.58,2015-03-01
